character.id,profile.name,profile.slug,score
187922826,Crucíble,silvermoon,945.8
197761506,Амаррин,ashenvale,1098.0
226355394,Trrish,sylvanas,1068.4
196031275,Phynes,hyjal,965.9
196345806,Elgreco,kazzak,891.4
176101460,Angeil,dun-modr,1154.9
174509571,Kethmil,dun-modr,1295.3
165707790,Fohdin,malfurion,755.1
159709105,Numenor,lothar,967.8
117873530,Уриенс,howling-fjord,930.8
167048919,Shaadd,aegwynn,1025.2
192660589,Radaelth,pozzo-delleternità,930.1
244856065,Pierceisback,arathor,891.4
99016485,Salysia,antonidas,932.5
52157462,Сайбл,ashenvale,881.7
237524522,Кирсенс,borean-tundra,796.7
174641375,Yuriy,terokkar,1082.2
165224335,Bubblepalix,tarren-mill,880.2
149408340,Kelh,dalaran,1162.2
150892050,Lèontas,silvermoon,970.0
41473927,Куорич,fordragon,748.1
193810965,Ackrus,silvermoon,956.7
196793079,Halahk,grim-batol,929.7
26821800,Флейма,soulflayer,1076.5
39437807,Achilless,garrosh,772.8
192502249,Grekkon,outland,937.6
61797369,Durandíl,blackmoore,844.7
141848899,Thorös,dun-modr,835.9
166122140,Skysee,blackmoore,766.3
142577959,Ryutei,hyjal,498.0
187730471,Lowendal,archimonde,940.3
155999239,Ðwarfnado,antonidas,795.1
93968233,Kadix,aggra-português,1223.2
160740383,Pakettin,dun-modr,1034.8
137200959,Коньячок,gordunni,900.4
82252073,Malëficent,antonidas,547.6
92168451,Ezharan,aszune,792.3
243882259,Чертнаимбе,gordunni,708.6
54453980,Aporyse,uldaman,772.9
187936406,Brightflame,elune,
